Out bits shaXX number = 15
----------------------------------------------
Collision number 125: ('e268b0', 'e617cf')
Collision number 126: ('4c12ff', '773504')
Collision number 127: ('9ca099', 'fdf7ee')
Collision number 128: ('3ff5ed', 'c74986')
Collision number 129: ('3e37b7', '9d9544')
Collision number 130: ('13868e', '284307')
Collision number 131: ('a155c5', '31aa47')
Collision number 132: ('0b9457', '24d971')
Collision number 133: ('b5f39b', '20fb7a')
Collision number 134: ('954730', '70aaba')
Collision number 135: ('647834', '3eb4b0')
Collision number 136: ('f981d5', 'e7c5df')
Collision number 137: ('ccb4d8', 'e9122e')
Collision number 138: ('b1f64e', '389330')
Collision number 139: ('aaf0ff', '9ea4f9')
Collision number 140: ('fc3ede', '6b92cb')
Collision number 141: ('f5ba08', '71bb61')
Collision number 142: ('be5581', 'c0e69a')
Collision number 143: ('120f96', '6ceec3')
Collision number 144: ('ca4497', 'bff959')
Collision number 145: ('69252d', 'e9c324')
Collision number 146: ('47aaa8', 'e20b3f')
Collision number 147: ('175f31', '686f81')
Collision number 148: ('bed063', '15f8a6')
Collision number 149: ('9ec4cb', '135135')
Collision number 150: ('d77b6d', '6698d6')
Collision number 151: ('a3ecf3', '40219d')
Collision number 152: ('9cb4fa', '6e0b2d')
Collision number 153: ('11d50a', '403ad1')
Collision number 154: ('5f2dca', '0bd64c')
Collision number 155: ('d0fa28', '26e6ed')
Collision number 156: ('3b4d94', 'be7daf')
Collision number 157: ('bec523', '77cb80')
Collision number 158: ('144296', '6f9615')
Collision number 159: ('f86b0a', '4adb5b')
Collision number 160: ('0a6529', '9abbea')
Collision number 161: ('7c7d1e', '515818')
Collision number 162: ('8b4cd0', 'da64ef')
Collision number 163: ('50d089', 'b7d74d')
Collision number 164: ('0f112b', '1c48cb')
Collision number 165: ('9041bb', 'b0f421')
Collision number 166: ('d86b0b', '83941c')
Collision number 167: ('b1142d', 'af75e7')
Collision number 168: ('f8c67a', '6be69b')
Collision number 169: ('9baa9f', '0cd7e1')
Collision number 170: ('45b66f', '6995d1')
Collision number 171: ('2ecf5c', '07daf6')
Collision number 172: ('819eaa', 'f6a719')
Collision number 173: ('469799', '7ea69e')
Collision number 174: ('6d5c76', '938b29')
Collision number 175: ('775c44', '7c72fe')
Collision number 176: ('e846a9', '1b60ae')
Collision number 177: ('9757c2', '51890d')
Collision number 178: ('380b2b', '62b7a5')
Collision number 179: ('d0b0a1', '71af78')
Collision number 180: ('5671f2', '96d508')
Collision number 181: ('67a4f1', 'b41fc9')
Collision number 182: ('b6ebe2', 'a61fcd')
Collision number 183: ('7d73c7', '65314e')
Collision number 184: ('1a5c9f', '680b5c')
Collision number 185: ('2c8c6a', 'dc13b1')
Collision number 186: ('0e0a65', 'a9104f')
Collision number 187: ('78793f', 'ae1163')
Collision number 188: ('3e86ee', '3c164f')
Collision number 189: ('a0d428', 'd84299')
Collision number 190: ('51254d', '7016bb')
Collision number 191: ('4fb49f', '9bcb7a')
Collision number 192: ('ed12fc', '31446c')
Collision number 193: ('61ba87', '3f7cc4')
Collision number 194: ('341d3d', 'a56912')
Collision number 195: ('b06ccb', 'ec1128')
Collision number 196: ('983e9a', '76b94e')
Collision number 197: ('815465', 'a039bd')
Collision number 198: ('80f3cf', '6db78c')
Collision number 199: ('05e579', 'd81bab')
Collision number 200: ('ca060c', 'f71b71')
Out bits shaXX number = 17
----------------------------------------------
Collision number 1: ('01eca2', 'c76c75')
Collision number 2: ('2018a4', 'f5db57')
Collision number 3: ('aa8ebd', '59558f')
Collision number 4: ('15f1e1', 'e2ce23')
Collision number 5: ('e96155', '56caa7')
Collision number 6: ('0a4805', 'ce66b4')
Collision number 7: ('f83842', 'eca156')
Collision number 8: ('239c4a', '62959f')
Collision number 9: ('7e1c83', '8284b1')
Collision number 10: ('69e738', 'a58546')
Collision number 11: ('a0e10d', '4e09f9')
Collision number 12: ('6f2ee5', '5a8cca')
Collision number 13: ('b62fda', '36ef54')
Collision number 14: ('558d79', '7d5e9d')
Collision number 15: ('898239', '435fdb')
Collision number 16: ('6e11d0', '340386')
Collision number 17: ('364656', 'c5f5d2')
Collision number 18: ('24d17f', '713497')
Collision number 19: ('0be7a1', 'c2c678')
Collision number 20: ('d48d0c', '8c48b2')
Collision number 21: ('715715', '1a74d9')
Collision number 22: ('27cae5', 'a49fde')
Collision number 23: ('fd7ac7', '95625e')
Collision number 24: ('8e2c87', 'f0a2ba')
Collision number 25: ('3097c9', 'ae08f1')
Collision number 26: ('6b25f3', '858de8')
Collision number 27: ('4bdb99', '287ca5')
Collision number 28: ('d401b6', '3f978c')
Collision number 29: ('4f6191', '827e5f')
Collision number 30: ('2ae7fb', 'bb890f')
Collision number 31: ('30493a', '62f4b1')
Collision number 32: ('7df5a4', 'e62f0f')
Collision number 33: ('748edb', 'ab7cd5')
Collision number 34: ('876831', 'df9d03')
Collision number 35: ('9b1d14', '54b0e7')
Collision number 36: ('bf3ff6', '542b25')
Collision number 37: ('f842e5', '8b7ae9')
Collision number 38: ('3226a2', '52d6a7')
Collision number 39: ('ba25e6', '9487cf')
Collision number 40: ('0d19ad', 'b6f93b')
Collision number 41: ('1e09d9', 'ee3485')
Collision number 42: ('6d527a', '81db32')
Collision number 43: ('f418e7', 'ec4f64')
Collision number 44: ('9f9fc2', 'c1bfdb')
Collision number 45: ('2806e9', '2ec11b')
Collision number 46: ('44a41c', 'd02ab0')
Collision number 47: ('971b18', '741f38')
Collision number 48: ('c1285b', 'b330d6')
Collision number 49: ('dda045', 'ce370e')
Collision number 50: ('47b8d0', '1d2d43')
Collision number 51: ('1e7422', '5c4042')
Collision number 52: ('30a96f', '69bcc7')
Collision number 53: ('7c952e', '4d19bb')
Collision number 54: ('77bdb8', '57672d')
Collision number 55: ('abbd2e', '43c537')
Collision number 56: ('bc39ba', 'bc39ba')
Collision number 57: ('3d1e39', '02750f')
Collision number 58: ('a8d616', '7fe585')
Collision number 59: ('b52340', '603664')
Collision number 60: ('4deffb', 'ea2b42')
Collision number 61: ('3ddcbc', '50e80b')
Collision number 62: ('90b279', '648aad')
Collision number 63: ('030093', '99ccd1')
Collision number 64: ('dd9859', '8611f7')
Collision number 65: ('8fb5e9', 'e802a8')
Collision number 66: ('741276', 'c9c32d')
Collision number 67: ('b2257c', 'd3a816')
Collision number 68: ('f3850f', '5a87f4')
Collision number 69: ('ee878a', 'ee878a')
Collision number 70: ('e3e1d8', '433be2')
Collision number 71: ('d48aa6', '0e8661')
Collision number 72: ('93a92f', '93a92f')
Collision number 73: ('8b16fe', '3b141d')
Collision number 74: ('2924ca', 'db061f')
Collision number 75: ('467037', '11fc38')
Collision number 76: ('2bbaac', '7c1c3c')
Collision number 77: ('4006f7', '1284e3')
Collision number 78: ('49df55', '9d73f6')
Collision number 79: ('04be51', '7c6017')
Collision number 80: ('fffcee', 'ed48e3')
Collision number 81: ('b666e9', 'ad873c')
Collision number 82: ('2ba4e1', '29605e')
Collision number 83: ('185eb7', '39ec60')
Collision number 84: ('6f7d75', 'fff33b')
Collision number 85: ('a8c101', 'fe0cb0')
Collision number 86: ('11cf87', '85b5b4')
Collision number 87: ('b587a3', 'b33af1')
Collision number 88: ('6c4caf', '7a8ec6')
Collision number 89: ('c04b30', '146a57')
Collision number 90: ('de6ac0', '8f9633')
Collision number 91: ('4621ad', '35387b')
Collision number 92: ('24a970', '5284bd')
Collision number 93: ('37e34a', '5d8fc3')
Collision number 94: ('84c65b', 'a458b8')
Collision number 95: ('324738', '18ee9a')
Collision number 96: ('f276c0', '5d17a1')
Collision number 97: ('2cae37', 'a66b6f')
Collision number 98: ('3bea07', 'd4ef33')
Collision number 99: ('4364a5', 'aa44c3')
Collision number 100: ('0464a9', '8cc63c')
Collision number 101: ('5524d5', 'ba4e40')
Collision number 102: ('7a9668', '78d056')
Collision number 103: ('1f2fc8', 'ced308')
Collision number 104: ('4da9bb', '5f3eff')
Collision number 105: ('102208', '247ed2')
Collision number 106: ('1c4fa8', 'f57375')
Collision number 107: ('4033cc', '17475a')
Collision number 108: ('1f6331', 'cc1637')
Collision number 109: ('9d70f9', '9293be')
Collision number 110: ('74b232', '9bdd65')
Collision number 111: ('133de4', '086208')
Collision number 112: ('7370f8', '4450bf')
Collision number 113: ('21c4f8', 'f8e2bd')
Collision number 114: ('35b650', '983310')
Collision number 115: ('d410f4', '745724')
Collision number 116: ('6c5d17', 'f5ae89')
Collision number 117: ('bd27c8', '62d672')
Collision number 118: ('773558', 'b681b7')
Collision number 119: ('7f806e', 'a81d74')
Collision number 120: ('30508a', '720d05')
Collision number 121: ('a1fea5', '024cc2')
Collision number 122: ('f5dd17', 'f70444')
Collision number 123: ('36cecd', 'a73aa2')
Collision number 124: ('c0ff5d', '1d1865')
Collision number 125: ('c81708', '65c295')
Collision number 126: ('71c231', '047936')
Collision number 127: ('10c6fb', 'c48743')
Collision number 128: ('f6552a', 'a0888d')
