Out bits shaXX number = 15
----------------------------------------------
Collision number 64: ('054a0b', '178cd2')
Collision number 65: ('925235', '5a04fe')
Collision number 66: ('38df39', 'd8b7fa')
Collision number 67: ('e8ad93', 'ec37fa')
Collision number 68: ('20ed74', '07a92d')
Collision number 69: ('dc83b1', '8661e1')
Collision number 70: ('c0e18a', '0fcc94')
Collision number 71: ('38061c', '1cf336')
Collision number 72: ('ef35e7', '68f614')
Collision number 73: ('32f0fa', '93e4a5')
Collision number 74: ('afe0cc', '9a9241')
Collision number 75: ('95586f', 'cd2be6')
Collision number 76: ('21bf83', 'f03956')
Collision number 77: ('f834d4', 'f84f67')
Collision number 78: ('e1be04', '516379')
Collision number 79: ('9255a9', '74bdd8')
Collision number 80: ('11b9e7', 'ae42ae')
Collision number 81: ('9860e7', 'ee02a1')
Collision number 82: ('ce595f', '191c3c')
Collision number 83: ('9502e3', 'f2165c')
Collision number 84: ('1b7bfe', '2bb5fa')
Collision number 85: ('f617c3', 'ea037b')
Collision number 86: ('323b34', 'c7029f')
Collision number 87: ('ccdd9a', 'ff3794')
Collision number 88: ('692492', '692492')
Collision number 89: ('a7d7f7', '425c0f')
Collision number 90: ('da5c2c', '2875f1')
Collision number 91: ('fdc0ed', 'dbe81b')
Collision number 92: ('2f3405', '303992')
Collision number 93: ('d1994b', 'd81025')
Collision number 94: ('d907d6', '78b950')
Collision number 95: ('5108e4', '31a5d0')
Collision number 96: ('483f8d', 'c34b31')
Collision number 97: ('836bfc', '53edf0')
Collision number 98: ('a0ac70', '620f76')
Collision number 99: ('41ec54', '448a41')
Collision number 100: ('13397c', 'a6f307')
Collision number 101: ('a29c99', 'c4c0c2')
Collision number 102: ('1f7743', '61bc0a')
Collision number 103: ('c2aa1a', 'f41377')
Collision number 104: ('e986cf', '4a9d84')
Collision number 105: ('b7e0dd', 'addced')
Collision number 106: ('b4b646', '3939c5')
Collision number 107: ('31377d', '963301')
Collision number 108: ('45fb5c', '315eed')
Collision number 109: ('507f72', '1c8be3')
Collision number 110: ('485470', '7f8474')
Collision number 111: ('3f5964', '67e10e')
Collision number 112: ('42ff02', 'c8f294')
Collision number 113: ('7e7784', '4c0c12')
Collision number 114: ('aef6e9', '5086c6')
Collision number 115: ('fc350e', '371067')
Collision number 116: ('3bdc35', 'd9606d')
Collision number 117: ('ab9852', '752e94')
Collision number 118: ('514d66', '986d4c')
Collision number 119: ('9d3e9a', 'eb1149')
Collision number 120: ('c92bc7', '871b8f')
Collision number 121: ('160eb4', '53497d')
Collision number 122: ('f0396e', '2059e2')
Collision number 123: ('0bd602', 'cca168')
Collision number 124: ('b80428', '9598cc')
Collision number 125: ('792447', 'cbf858')
Collision number 126: ('599910', '096552')
Collision number 127: ('98f55c', '00d0a9')
Collision number 128: ('5ffe42', '3f6946')
Collision number 129: ('3114cb', 'f7793a')
Collision number 130: ('36e1e2', 'd2c311')
Collision number 131: ('2acf63', 'c30731')
Collision number 132: ('5314aa', 'e3bd64')
Collision number 133: ('892064', '6eec7f')
Collision number 134: ('9e9747', 'd0f68c')
Collision number 135: ('120e2a', '4b1f1f')
Collision number 136: ('3577ab', 'a7a025')
Collision number 137: ('99b4f5', '253d82')
Collision number 138: ('1d03c9', 'ddc4e3')
Collision number 139: ('8ca154', 'c6415d')
Collision number 140: ('0d6054', '9a177f')
Collision number 141: ('44162d', '40a58c')
Collision number 142: ('e6949c', '0f4bb2')
Collision number 143: ('c7e43a', '09dc3e')
Collision number 144: ('ce474e', 'e5895a')
Collision number 145: ('60ef20', 'bcefea')
Collision number 146: ('205efc', 'b83d03')
Collision number 147: ('8031d4', '7755b9')
Collision number 148: ('12cf08', 'd1299d')
Collision number 149: ('c1512b', 'b4b992')
Collision number 150: ('7d0d2a', '268fbb')
Collision number 151: ('b0f619', '9acb84')
Collision number 152: ('e4836b', '346c6a')
Collision number 153: ('1222ee', 'e5b2f7')
Collision number 154: ('dce208', 'cede79')
Collision number 155: ('20f0c7', '4d5753')
Collision number 156: ('7a8d83', '1b4b12')
Collision number 157: ('21ec61', '08e8fb')
Collision number 158: ('fbf1e4', '4a5d7b')
Collision number 159: ('934529', 'b0d875')
Collision number 160: ('aa3319', '2eebc0')
Collision number 161: ('df285e', '91329e')
Collision number 162: ('e81a08', 'fea4a3')
Collision number 163: ('6f1367', '929a3c')
Collision number 164: ('5982ca', '4fde69')
Collision number 165: ('363f75', 'e6cdbd')
Collision number 166: ('5e2c91', 'e991f9')
Collision number 167: ('3429d9', '8b6634')
Collision number 168: ('d678ac', '36ce95')
Collision number 169: ('70eeae', '3f9eb1')
Collision number 170: ('e22f5a', '901fff')
Collision number 171: ('ba83a4', 'fe5c39')
Collision number 172: ('e02083', '3c83db')
Collision number 173: ('6658a5', '2a2618')
Collision number 174: ('150e93', '10d4fc')
Collision number 175: ('20703f', '3b2144')
Collision number 176: ('b3fc3a', 'b3f710')
Collision number 177: ('cdc6fc', 'a780a6')
Collision number 178: ('566267', '486bf9')
Collision number 179: ('e8e526', 'a30fcb')
Collision number 180: ('056427', '37e0c0')
Collision number 181: ('58fddb', 'b51362')
Collision number 182: ('b94c89', '638aa7')
Collision number 183: ('ef8c7b', '26ec3e')
Collision number 184: ('48f139', '52546c')
Collision number 185: ('c16dd6', '03b3b5')
Collision number 186: ('156ced', '20d45f')
Collision number 187: ('b81089', 'c53f52')
Collision number 188: ('cb25f0', '4ed894')
Collision number 189: ('5954e6', '1f1cfe')
Collision number 190: ('f31d82', '0c80e8')
Collision number 191: ('68a968', 'a2368b')
Collision number 192: ('acbd6f', 'cb7ef9')
Collision number 193: ('f751e3', '4a42ca')
Collision number 194: ('c6c8d5', '5b6943')
Collision number 195: ('15dcdd', '9ccb1c')
Collision number 196: ('83f061', 'ab1a1d')
Collision number 197: ('2ba660', '1cf192')
Collision number 198: ('bab7b8', '241bf0')
Collision number 199: ('0b1a13', 'bf83f5')
Collision number 200: ('d3f27f', '96a704')
Out bits shaXX number = 17
----------------------------------------------
Collision number 1: ('7b0d69', 'aa9393')
Collision number 2: ('4a9ae5', '2492e7')
Collision number 3: ('94441d', '1c052c')
Collision number 4: ('58645b', '71546a')
Collision number 5: ('5cd9ef', 'b31609')
Collision number 6: ('d1b08a', '3796b2')
Collision number 7: ('56a822', '13ea7c')
Collision number 8: ('2a4a90', 'ff2f23')
Collision number 9: ('6647e3', 'ce8f49')
Collision number 10: ('b835c8', '949246')
Collision number 11: ('8c48d3', '328c37')
Collision number 12: ('2f6bec', '7bfe73')
Collision number 13: ('c88d6c', '84c5c4')
Collision number 14: ('84615c', '6b07fb')
Collision number 15: ('623cb3', 'cd89f1')
Collision number 16: ('176fac', 'c39647')
Collision number 17: ('5c2daf', '998cfb')
Collision number 18: ('33782b', 'c06c5f')
Collision number 19: ('97599b', '7c0cd7')
Collision number 20: ('2515df', '4a1f3b')
Collision number 21: ('94262e', '801300')
Collision number 22: ('1b6155', 'e74720')
Collision number 23: ('3dbfd6', 'b0463b')
Collision number 24: ('a74564', '20218d')
Collision number 25: ('bd0a1f', '7d5154')
Collision number 26: ('572f49', 'e91e67')
Collision number 27: ('16e87c', '8f817b')
Collision number 28: ('f03d88', '114e23')
Collision number 29: ('82c016', '6ebce8')
Collision number 30: ('b5194e', '42b7db')
Collision number 31: ('446d05', '833c55')
Collision number 32: ('1f5115', '7dcab7')
Collision number 33: ('53c3d7', 'b8bea8')
Collision number 34: ('33783f', 'f37a2f')
Collision number 35: ('e0ec22', '9b8c76')
Collision number 36: ('f2f659', 'deca19')
Collision number 37: ('5e8ae1', '96fdec')
Collision number 38: ('bf020a', '530132')
Collision number 39: ('0e3bc4', '60ba01')
Collision number 40: ('a7f497', 'f3ef92')
Collision number 41: ('ebb078', 'f33a09')
Collision number 42: ('f9a1ef', '769f38')
Collision number 43: ('8ebedb', '2f1a6d')
Collision number 44: ('215135', '50ad7f')
Collision number 45: ('2df360', '808c4d')
Collision number 46: ('3c8325', '4aae02')
Collision number 47: ('5f8278', '353f9b')
Collision number 48: ('77eb13', '2fcdf5')
Collision number 49: ('c8827a', 'c4069a')
Collision number 50: ('04afa2', '57bf56')
Collision number 51: ('364ed7', '35e8c8')
Collision number 52: ('a38a4b', 'c68122')
Collision number 53: ('15ce26', '2a2a57')
Collision number 54: ('ed0202', '5ee16f')
Collision number 55: ('f8ba72', '92c52e')
Collision number 56: ('91d3dc', '238d9b')
Collision number 57: ('64f456', '0d98f4')
Collision number 58: ('9eb9ba', '654ac4')
Collision number 59: ('5cfa7d', '5d48bf')
Collision number 60: ('adba5f', '7d2623')
Collision number 61: ('d1b53b', 'ec7de2')
Collision number 62: ('c274b3', 'ae7af1')
Collision number 63: ('1f60d4', 'f0442a')
Collision number 64: ('9f100b', 'f82a51')
Collision number 65: ('960091', 'e307e3')
Collision number 66: ('8a5198', 'aad322')
Collision number 67: ('ed3b1f', 'ddce55')
Collision number 68: ('274dab', 'b583d6')
Collision number 69: ('88d6ad', 'd1d5cd')
Collision number 70: ('2cc32e', '63e117')
Collision number 71: ('9aef14', 'e3164f')
Collision number 72: ('f2f517', 'c8a9a3')
Collision number 73: ('01d040', '14c0c7')
Collision number 74: ('8b6395', '3819fd')
Collision number 75: ('383abb', '29440f')
Collision number 76: ('510976', '69c254')
Collision number 77: ('c105a4', 'a99fb4')
Collision number 78: ('062588', '8f142f')
Collision number 79: ('e1f15e', 'e34b91')
Collision number 80: ('6c1399', 'db50d5')
Collision number 81: ('78d3ff', '997e5b')
Collision number 82: ('ed58b1', 'f08bff')
Collision number 83: ('b45df8', 'b3b890')
Collision number 84: ('d4211f', '0b0f7d')
Collision number 85: ('79b91e', 'a1f809')
Collision number 86: ('8a8c89', '8fe7cc')
Collision number 87: ('dce1a2', '532a51')
Collision number 88: ('1633cd', '56b84e')
Collision number 89: ('7e2ff7', 'aa029a')
Collision number 90: ('fd41a7', 'f139e8')
Collision number 91: ('dff9b3', '145b02')
Collision number 92: ('6af475', '891b65')
Collision number 93: ('3d3bdd', 'c3b8e8')
Collision number 94: ('6a6abc', 'fd2661')
Collision number 95: ('c6dd78', '94ef95')
Collision number 96: ('df5f68', 'cb740c')
Collision number 97: ('c2f061', 'fabcc0')
Collision number 98: ('087cd1', 'c7894f')
Collision number 99: ('3d26d7', 'be18bc')
Collision number 100: ('719fa8', '1a63c8')
Collision number 101: ('578ba0', '42505c')
Collision number 102: ('9832d2', 'babc1b')
Collision number 103: ('eb9877', '9cdc73')
Collision number 104: ('06a95d', 'ed88d0')
Collision number 105: ('c7b3c4', 'b49b0b')
Collision number 106: ('4225c9', '20da87')
Collision number 107: ('dd42cb', '38246d')
Collision number 108: ('ac978a', '24f1fd')
Collision number 109: ('7ecbda', '9b4fb1')
Collision number 110: ('8a91b8', 'b2fe81')
Collision number 111: ('1fa1eb', 'e9db52')
Collision number 112: ('db04b1', '4525e7')
Collision number 113: ('9000c8', 'd07cb9')
Collision number 114: ('cd468b', 'c71986')
Collision number 115: ('f31717', 'a7c8b2')
Collision number 116: ('8c6378', '567735')
Collision number 117: ('7983d3', 'ac4fb6')
Collision number 118: ('dd5fb2', '590534')
Collision number 119: ('2c6637', '892ba8')
Collision number 120: ('d10913', 'da424a')
Collision number 121: ('97aea9', '48da4e')
Collision number 122: ('bc5863', '348850')
Collision number 123: ('5ae224', '525a07')
Collision number 124: ('23d763', 'a92882')
Collision number 125: ('2089ed', 'e13689')
Collision number 126: ('809ab9', 'bf420f')
Collision number 127: ('0f61aa', 'd857a2')
Collision number 128: ('0f8ec4', '9245b6')
Collision number 129: ('c1a660', '8bc7e5')
Collision number 130: ('0fba08', '58db19')
Collision number 131: ('77af55', '7deb67')
Collision number 132: ('a6e7b2', '9e53eb')
Collision number 133: ('2fa710', '42c633')
Collision number 134: ('e0acb2', '6e36e1')
Collision number 135: ('ac03de', 'be1a72')
Collision number 136: ('5c292a', 'f6198b')
Collision number 137: ('1ddfe2', 'dac372')
Collision number 138: ('a16795', '100853')
Collision number 139: ('a32a37', '47e518')
Collision number 140: ('2a0216', 'b41ad3')
Collision number 141: ('7e1fcf', '8f8238')
Collision number 142: ('a27b67', 'dcb75d')
Collision number 143: ('b23013', '089b61')
Collision number 144: ('d9a5fc', 'e50c9e')
Collision number 145: ('39ffd6', '357d30')
Collision number 146: ('65197c', 'cb27e1')
Collision number 147: ('29834b', '4b86f1')
Collision number 148: ('ea4de1', '22b1f5')
Collision number 149: ('05886f', '4768e5')
Collision number 150: ('ba2805', '83c40c')
Collision number 151: ('dfd97e', '5904df')
Collision number 152: ('c28000', '804452')
Collision number 153: ('5130bc', 'e00af3')
Collision number 154: ('4bd033', '595042')
Collision number 155: ('fd8069', '7047f4')
Collision number 156: ('047ef7', '7323de')
Collision number 157: ('1f89c1', 'a1a4bf')
Collision number 158: ('b44e15', '810f48')
Collision number 159: ('771e83', '06d346')
Collision number 160: ('fdfbb6', '82cf75')
Collision number 161: ('4f65e3', '84d482')
Collision number 162: ('e49456', 'a33421')
Collision number 163: ('69d354', '07030a')
Collision number 164: ('2d5f58', '333a96')
Collision number 165: ('08724e', '931671')
Collision number 166: ('7ce21d', '2d6c25')
Collision number 167: ('2631e1', 'e58dea')
Collision number 168: ('368ed4', 'd5c198')
Collision number 169: ('5a7d79', '2162f3')
Collision number 170: ('594c3e', '324910')
Collision number 171: ('249c28', '966174')
Collision number 172: ('4504d0', 'fccfbe')
Collision number 173: ('5537c4', '76d942')
Collision number 174: ('79c302', 'bbeaab')
Collision number 175: ('20ef88', '4a1616')
Collision number 176: ('4ef74a', '8d155e')
Collision number 177: ('1f36af', 'a8e34d')
Collision number 178: ('bb017f', '2aaf86')
Collision number 179: ('b0416e', '7e41d4')
Collision number 180: ('a3e7d1', '24aea4')
Collision number 181: ('44060f', 'e528b3')
Collision number 182: ('c53740', 'a9507d')
Collision number 183: ('193a49', 'b18e0d')
Collision number 184: ('7481ca', '5cc8c4')
Collision number 185: ('c651ea', '07b313')
Collision number 186: ('ba2c32', '9bb481')
Collision number 187: ('cbcc7f', '388dbb')
Collision number 188: ('e0293c', '78cabb')
Collision number 189: ('61540e', '2efcdb')
Collision number 190: ('a74c80', 'eaa699')
Collision number 191: ('902394', '24ff2c')
Collision number 192: ('9c6910', '7bac40')
Collision number 193: ('4dc4c4', '5bdf5d')
Collision number 194: ('d3a473', '8b0656')
Collision number 195: ('812c04', '3c1eb9')
Collision number 196: ('83a9a6', '864909')
Collision number 197: ('108507', '7abdb8')
Collision number 198: ('87b06b', '89750d')
Collision number 199: ('3b8ad2', 'c97487')
Collision number 200: ('f7b84e', '6f52bf')
Out bits shaXX number = 18
----------------------------------------------
Collision number 1: ('902b4e', 'f9e775')
Collision number 2: ('92004f', 'f1f95a')
Collision number 3: ('1aaa69', '9c8e07')
Collision number 4: ('558185', 'faeaa1')
Collision number 5: ('b4a1a9', '1cd8d2')
Collision number 6: ('f75302', 'd20f3f')
Collision number 7: ('b74abd', 'b74abd')
Collision number 8: ('193e7a', 'af4fe8')
Collision number 9: ('97c7ca', '67c8ea')
Collision number 10: ('4b0ab4', '9c2f1a')
Collision number 11: ('28635a', '4611ef')
Collision number 12: ('9fab44', 'e85df8')
Collision number 13: ('e6b9fc', '1df274')
Collision number 14: ('a31851', '08ec5b')
Collision number 15: ('e0d522', 'db9e6e')
Collision number 16: ('388f76', 'ebb7ce')
Collision number 17: ('43d178', '0f93e5')
Collision number 18: ('9d3033', '932091')
Collision number 19: ('f0144b', '8c7a6d')
Collision number 20: ('9b0d78', 'd8d46d')
Collision number 21: ('111154', '9fb8f0')
Collision number 22: ('991f99', '004b79')
Collision number 23: ('30bc34', '1f9286')
Collision number 24: ('126986', '37d085')
Collision number 25: ('3ca373', '1c0987')
Collision number 26: ('bc4eb8', 'b8a9df')
Collision number 27: ('b47823', '8522db')
Collision number 28: ('cdb9fc', '5681f8')
Collision number 29: ('5f1b95', 'e581d9')
Collision number 30: ('bf933e', 'bf933e')
Collision number 31: ('c59428', '4a71ad')
Collision number 32: ('bc94ac', '867245')
Collision number 33: ('dc101f', '7b59ad')
Collision number 34: ('eb699e', 'ce8d82')
Collision number 35: ('b7c1ff', '9babf2')
